Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.265654e+02,4.077317e+02,2.440238e+02,4.873001e-01,3.410459e-03,8.732278e-01
2,raalf,normal,2.394474e+02,3.788998e+02,2.453201e+02,4.333417e-01,6.407394e-02,8.989491e-01
3,lflac,normal,3.153449e+02,5.120649e+02,7.316690e+01,-9.529433e-01,-2.088591e-03,-3.031415e-01
4,rflac,normal,3.936946e+02,3.625540e+02,8.497473e+01,2.505285e-01,-9.680764e-01,-7.974290e-03
5,lfsq,normal,5.286849e+02,6.581056e+02,7.169058e+01,1.543718e-01,3.054699e-01,-9.396050e-01
6,rfsq,normal,6.269891e+02,4.345915e+02,8.200079e+01,3.331243e-01,-3.729822e-01,-8.659750e-01
7,lmax,normal,1.239530e+02,3.860219e+02,1.952482e+02,-9.537816e-01,1.264628e-02,3.002346e-01
8,rmax,normal,1.682566e+02,3.049584e+02,1.981672e+02,-6.276953e-01,-6.594278e-01,-4.137072e-01
9,lorb,normal,2.540072e+02,5.264359e+02,1.537894e+02,1.301330e-01,-8.487034e-01,-5.126090e-01
10,rorb,normal,3.559341e+02,3.110854e+02,1.642879e+02,-6.821213e-01,2.270987e-01,-6.950805e-01
11,lmaxna,normal,2.182823e+02,4.318444e+02,9.740387e+01,-5.976964e-01,7.958869e-01,-9.655578e-02
12,rmaxna,normal,2.683471e+02,3.373299e+02,9.770354e+01,-5.558863e-01,-1.614882e-01,-8.154213e-01
13,lpto,normal,7.117177e+02,8.371365e+02,2.191680e+02,-2.402710e-01,9.697717e-01,4.257447e-02
14,rpto,normal,8.781702e+02,4.651007e+02,2.513098e+02,8.127271e-01,-2.457678e-01,-5.282735e-01
15,lsqzy,normal,5.736813e+02,7.950389e+02,2.223961e+02,6.345852e-01,6.530143e-01,4.133691e-01
16,rsqzy,normal,7.654316e+02,4.024925e+02,2.373333e+02,6.255193e-01,-7.178430e-01,-3.056582e-01
17,lzya,normal,3.663255e+02,6.777006e+02,1.984036e+02,2.084536e-02,8.674316e-01,-4.971198e-01
18,rzya,normal,5.390146e+02,3.091956e+02,2.177850e+02,4.026874e-01,5.335972e-01,-7.437183e-01
19,brg,normal,6.715394e+02,5.863054e+02,6.182819e+01,6.544226e-01,3.628150e-01,-6.633976e-01
20,pari,normal,8.041326e+02,6.431971e+02,1.077370e+02,8.407224e-02,4.321415e-01,-8.978783e-01
21,paro,normal,9.213295e+02,6.710402e+02,1.680700e+02,9.862206e-01,1.615901e-01,3.546118e-02
22,nas,normal,3.907404e+02,4.539756e+02,5.473657e+01,-6.542228e-02,-5.955190e-01,-8.006728e-01
23,nsl,normal,1.229777e+02,3.318695e+02,1.177751e+02,-3.136627e-01,-3.290916e-01,-8.906820e-01
24,ids,normal,1.289643e+02,3.396977e+02,2.288345e+02,1.875417e-03,2.309646e-02,-9.997315e-01
25,leam,normal,6.801013e+02,8.203796e+02,2.960741e+02,2.465722e-01,9.637329e-01,1.020836e-01
26,ream,normal,8.437443e+02,4.650489e+02,3.187919e+02,8.940407e-01,-2.707865e-01,3.568836e-01
27,rpmn,normal,4.212341e+02,4.454854e+02,5.088599e+01,-5.403953e-01,-3.504507e-01,-7.649556e-01
28,lpmn,normal,4.015165e+02,4.789244e+02,5.086072e+01,-5.957787e-01,-6.620735e-01,-4.546498e-01
29,aapl,normal,3.521887e+02,5.431277e+02,3.690995e+02,-6.534603e-01,-7.551485e-01,-5.234840e-02
30,sial,normal,4.539152e+02,6.122644e+02,3.499171e+02,-1.244677e-05,8.849121e-01,-4.657583e-01
31,tmal,normal,5.881235e+02,7.784597e+02,4.225507e+02,3.748927e-01,8.218172e-01,4.290362e-01
32,pmcl,normal,5.778853e+02,7.847260e+02,2.862078e+02,8.724958e-01,4.528982e-01,-1.833971e-01
33,iiaml,normal,2.956391e+02,4.575806e+02,4.561298e+02,-2.316531e-01,-3.768806e-01,8.968266e-01
34,lsiar,normal,2.661824e+02,4.398414e+02,3.947461e+02,3.068999e-01,5.322331e-01,-7.890122e-01